name,source,gender,wikidata,type
Ankerstraße,,,,way
Anna-Schwarz-Straße,,,,way
Annabergstraße,,,,way
Anne-Frank-Platz,,,,way
Annette-von-Droste-Hülshoff-Straße,,,,way
Ansgariustiergartenweg,,,,way
Anton-Günther-Straße,,,,way
Anton-J.-Becker-Park,,,,way
Antonstraße,,,,way
"Apenrader Straße",,,,way
Apfelanger,,,,way
Arnikaweg,,,,way
"Arnsteder Weg",,,,way
"Arnswalder Straße",,,,way
Arp-Schnitger-Straße,,,,way
Artillerieweg,,,,way
"Aschhauser Weg",,,,way
Astrid-Lindgren-Straße,,,,way
Auenweg,,,,way
"Auf dem Hock",,,,way
"Auf dem Warnshof",,,,way
"Auf der Düne",,,,way
August-Bebel-Straße,,,,way
August-Hanken-Straße,,,,way
August-Macke-Straße,,,,way
August-Schwettmann-Straße,,,,way
Auguststraße,,,,way
Babenend,,,,way
Bachstelzenweg,,,,way
Bachstraße,,,,way
Bahnhofsallee,,,,way
Bahnhofsplatz,,,,relation+way
Bahnhofstraße,,,,way
Bahnweg,,,,way
Bakenhusweg,,,,way
Bäkenkamp,,,,way
Bäkepark,,,,way
Bäkeplacken,,,,way
Bäkeweg,,,,way
Balthasarweg,,,,way
Balzweg,,,,way
"Banater Weg",,,,way
Bardieksweg,,,,way
Barkenweg,,,,way
"Barkhorster Weg",,,,way
Bärlauchweg,,,,way
Barschweg,,,,way
Baumeisterstraße,,,,way
Baumgartenstraße,,,,way
Baumschulenweg,,,,way
Bauordenstraße,,,,way
Beentweg,,,,way
Beethovenstraße,,,,way
Behnenkamp,,,,way
Behrensstraße,,,,way
"Bei den Erlen",,,,way
"Beim Holze",,,,way
Bekassinenweg,,,,way
Beowulfsweg,,,,way
Bergdiek,,,,way
Bergstraße,,,,way
"Berliner Platz",,,,way
"Berliner Straße",,,,way
Bernd-Hüttemann-Straße,,,,way
Bernhard-Friedrich-Weg,,,,way
Bernhardstraße,,,,way
Bertha-von-Suttner-Straße,,,,way
Bettina-von-Arnim-Ring,,,,way
"Beverbäker Wiesen",,,,way
Beverbäkstraße,,,,way
Biberweg,,,,way
"Bielitzer Straße",,,,way
Billungerweg,,,,way
Binsenstraße,,,,way
"Birkenfelder Straße",,,,way
Birkenhof,,,,way
Birkenweg,,,,way
Birkhuhnweg,,,,way
Bisamweg,,,,way
Bismarckstraße,,,,way
Bittersweg,,,,way
"Blankenburger Weg",,,,way
"Blaue Brücke",,,,way
Bleicherstraße,,,,way
"Bloher Kamp",,,,way
"Bloher Landstraße",,,,way
"Bloherfelder Anger",,,,way
"Bloherfelder Marktplatz",,,,relation+way
"Bloherfelder Straße",,,,way
Blücherstraße,,,,way
Blumenhof,,,,way
Blumenstraße,,,,way
Bodenburgallee,,,,way
Bogenstraße,,,,way
Bohlendamm,,,,way
Bohlenhof,,,,way
Bohlkenweg,,,,way
"Bokeler Straße",,,,way
Bollmannsweg,,,,way
Boompadd,,,,way
"Borbecker Straße",,,,way
Borchersweg,,,,way
"Borkumer Ring",,,,way
"Bornhorster Moorweg",,,,way
"Bornhorster Wiesen Ost",,,,way
"Bornhorster Wiesen West",,,,way
Borsigstraße,,,,way
Bowenkamp,,,,way
Boykengang,,,,way
Brachvogelweg,,,,way
Brahmkamp,,,,way
Brahmweg,,,,way
"Braker Weg",,,,way
Brakmannsweg,,,,way
"Brandenburger Straße",,,,way
Brandsweg,,,,way
Brassenweg,,,,way
Breewaterweg,,,,way
"Bremer Heerstraße",,,,way
"Bremer Straße",,,,way
Bremersweg,,,,way
"Breslauer Straße",,,,way
"Brieger Straße",,,,way
Brökerei,,,,way
"Brokforster Weg",,,,way
"Brokhauser Weg",,,,way
Brommystraße,,,,way
Brookweg,,,,way
Brüderstraße,,,,way
Brummelweg,,,,way
Brunnenkamp,,,,way
Brunnenweg,,,,way
Brunsbrok,,,,way
"Brüsseler Straße",,,,way
Buchenhof,,,,way
Buchenweg,,,,way
Bucholt,,,,way
Buchtstraße,,,,way
Buchweizenweg,,,,way
Bultenweg,,,,way
"Bümmersteder Tredde",,,,way
Bundesbahnweg,,,,way
Burenkamp,,,,way
Bürgerbuschweg,,,,way
Bürgereschstraße,,,,way
"Bürgerfelder Straße",,,,way
Bürgerstraße,,,,way
Burgstraße,,,,way
Burmesterstraße,,,,way
Buschhagenweg,,,,way
Buschstraße,,,,way
Bussardweg,,,,way
Busstraße,,,,way
Butenweg,,,,way
"Butjadinger Straße",,,,way
Buttelweg,,,,way
Byronstraße,,,,way
Cäcilienplatz,,,,way
Cäcilienstraße,,,,way
Carl-Eggers-Weg,,,,way
Carl-Friedrich-Gauß-Straße,,,,way
Carl-Friedrich-Spieske-Straße,,,,way
Carl-Heinrich-Slevogt-Straße,,,,way
Carl-Wöltje-Straße,,,,way
Carl-von-Ossietzky-Straße,,,,way
Charlotte-Dettling-Straße,,,,way
Chaukenstraße,,,,way
"Chemnitzer Straße",,,,way
Cheruskerweg,,,,way
Choletstraße,,,,way
Christian-Runde-Weg,,,,way
Christopherweg,,,,way
"City Center",,,,way
Clara-Grunwald-Straße,,,,way
Clausewitzstraße,,,,way
"Cloppenburger Straße",,,,way
Comeniusweg,,,,way
Dachsweg,,,,way
Dählmannsweg,,,,way
Dalbenstraße,,,,way
Damm,,,,way
Dammbleiche,,,,way
Dammschanze,,,,way
"Dänholmer Weg",,,,way
Dannenbuschweg,,,,way
Dantestraße,,,,way
"Danziger Straße",,,,way
"Deckers Padd",,,,way
Dedestraße,,,,way
Deelweg,,,,way
Deichweg,,,,way
Denkmalsweg,,,,way
Dersagauweg,,,,way
Devrientstraße,,,,way
Dianastraße,,,,way
Diedrich-Brinkmann-Straße,,,,way
Dießelweg,,,,way
Dietrich-Kohl-Weg,,,,way
Dietrichsweg,,,,way
Dillweg,,,,way
Dobbenstraße,,,,way
Dohlenhorst,,,,way
Dohlenweg,,,,way
Doktorsklappe,,,,way
Donarstraße,,,,way
"Donnerschweer Straße",,,,way
Dorfweg,,,,way
Dornröschenweg,,,,way
Dornstede,,,,way
Dr.-Behring-Straße,,,,way
Dr.-Erich-Dannemann-Straße,,,,way
Dr.-Schüßler-Straße,,,,way
Dr.-Virchow-Straße,,,,way
Dragonerstraße,,,,way
Dreschkamp,,,,way
"Dresdener Straße",,,,way
"Drielaker Heide",,,,way
"Drielaker Straße",,,,way
"Dringenburger Straße",,,,way
Drögen-Hasen-Weg,,,,way
Drohnenweg,,,,way
Drosselweg,,,,way
Dürerstraße,,,,way
Duvenhorst,,,,way
Dwaschweg,,,,way
Dwostraße,,,,way
Ebereschenweg,,,,way
"Eberswalder Weg",,,,way
Eddeshorn,,,,way
"Edewechter Landstraße",,,,way
Eduard-Mörike-Straße,,,,way
Eekenhorst,,,,way
Efeustraße,,,,way
Egerstraße,,,,way
Ehnernstraße,,,,way
Ehnkenweg,,,,way
Ehrenhain,,,,way
Ehrenpreisweg,,,,way
Eibenweg,,,,way
Eichendorffstraße,,,,way
Eichenstraße,,,,way
Eichhörnchenweg,,,,way
Eichkamp,,,,way
Eidechsenstraße,,,,way
Eiffelstraße,,,,way
Eike-von-Repkow-Straße,,,,way
Einsteinstraße,,,,way
Eisvogelring,,,,way
Ekernstraße,,,,way
Ekkardstraße,,,,way
Elbestraße,,,,way
Elchweg,,,,way
Elimarstraße,,,,way
Elisabeth-Frerichs-Straße,,,,way
Elisabethstraße,,,,way
Elise-Troschel-Straße,,,,way
Elisenstraße,,,,way
Ellenbogen,,,,way
Ellerholtweg,,,,way
Ellernbrok,,,,way
"Elmendorfer Straße",,,,way
Elritzenweg,,,,way
"Elsässer Straße",,,,way
"Elsflether Straße",,,,way
Elsternweg,,,,way
Emil-Pleitner-Gang,,,,way
Emilie-Oltmanns-Straße,,,,way
Emsstraße,,,,way
Entenweg,,,,way
Erich-Kästner-Straße,,,,way
Erikaweg,,,,way
Erlenweg,,,,way
Ermlandstraße,,,,way
Ernst-Löwenstein-Straße,,,,way
Ernst-Ludwig-Kirchner-Straße,,,,way
Eschenplatz,,,,way
Escherweg,,,,way
Eschstraße,,,,way
Eßkamp,,,,way
"Etzhorner Weg",,,,way
Eugen-Richter-Straße,,,,way
"Eupener Straße",,,,way
Eustachiusweg,,,,way
"Eutiner Straße",,,,way
Ewald-Sander-Padd,,,,way
Ewigkeit,,,,way
Eylersweg,,,,way
Fahrenkamp,,,,way
Falkenweg,,,,way
Falklandstraße,,,,way
Familie-Mechau-Straße,,,,way
Farnweg,,,,way
Fasanenweg,,,,way
"Fehmarner Ring",,,,way
Feldahornweg,,,,way
Feldkamp,,,,way
Feldstraße,,,,way
Ferdinand-Friedensburg-Straße,,,,way
Ferdinand-Koch-Straße,,,,way
Ferdinand-Lassalle-Straße,,,,way
Ferdinand-von-Schill-Straße,,,,way
Feststraße,,,,way
Fichtenstraße,,,,way
Finkenweg,,,,way
Finnenbahn,,,,way
Fliederweg,,,,way
Fliednerstraße,,,,way
Fliehweg,,,,way
Flogsand,,,,way
Florianstraße,,,,way
Flötenstraße,,,,way
Fluchtweg,,,,way
Föhrenkamp,,,,way
Föhrstraße,,,,way
Forellenweg,,,,way
Frankenstraße,,,,way
"Frankfurter Weg",,,,way
Franz-Josef-Buß-Straße,,,,way
Franz-Marc-Straße,,,,way
Franz-Poppe-Straße,,,,way
Franz-Reyersbach-Straße,,,,way
Fraunhoferweg,,,,way
Freesenweg,,,,way
Freiherr-vom-Stein-Straße,,,,way
Friedensplatz,,,,way
Friederikenstraße,,,,way
Friedhofsweg,,,,way
Friedlandstraße,,,,way
Friedrich-August-Platz,,,,way
Friedrich-Christoph-Dahlmann-Straße,,,,way
Friedrich-Ebert-Straße,,,,way
Friedrich-Naumann-Straße,,,,way
Friedrich-Rüder-Straße,,,,way
Friedrich-Schohusen-Straße,,,,way
Friedrich-Wilhelm-Deus-Straße,,,,way
"Friedrichsfehner Straße",,,,way
Friedrichstraße,,,,way
Friesenstraße,,,,way
Frieslandstraße,,,,way
Fritz-Bock-Straße,,,,way
Fritz-Reuter-Straße,,,,way
Fröbelstraße,,,,way
Fuchsweg,,,,way
Fuhrenweg,,,,way
Fuldastraße,,,,way
"Fürstenwalder Straße",,,,way
Gabelsbergerweg,,,,way
Gabelweg,,,,way
Gabriele-Münter-Straße,,,,way
Gagelweg,,,,way
Galileiweg,,,,way
Ganterweg,,,,way
Gardelerweg,,,,way
"Garnholter Straße",,,,way
Gartenstraße,,,,way
Gartentorstraße,,,,way
Gärtnerstraße,,,,way
Gaststraße,,,,way
Gasweg,,,,way
Gaußstraße,,,,way
Gebkenweg,,,,way
Gebrüder-Grimm-Straße,,,,way
Geesthöhe,,,,way
Geestkamp,,,,way
Georg-Bölts-Straße,,,,way
Georg-Elser-Straße,,,,way
Georg-Sello-Weg,,,,way
Georgstraße,,,,way
Gerberhof,,,,way
Gerhard-Muntink-Straße,,,,way
Gerhard-Schnitger-Straße,,,,way
Gerhard-Stalling-Straße,,,,way
Gerichtsstraße,,,,way
Gersteweg,,,,way
Gertrudenspinne,,,,way
Gertrudenstraße,,,,way
Geschwister-Scholl-Straße,,,,way
Giesenweg,,,,way
Gildestraße,,,,way
Gimpelstraße,,,,way
Ginsterweg,,,,way
Glashüttenstraße,,,,way
"Glatzer Straße",,,,way
Gleisweg,,,,way
Glockenblumenweg,,,,way
Gloyesteenstraße,,,,way
Gneisenaustraße,,,,way
Goerdelerstraße,,,,way
Goethestraße,,,,way
Gografenweg,,,,way
Goldammerweg,,,,way
Goldfischweg,,,,way
Goldrautenweg,,,,way
Goldregenweg,,,,way
Goosweg,,,,way
Gorch-Fock-Straße,,,,way
"Görlitzer Straße",,,,way
Gotenstraße,,,,way
Gottfried-Keller-Straße,,,,way
Gotthelfstraße,,,,way
"Göttinger Straße",,,,way
Gottlieb-Becker-Straße,,,,way
Gottorpstraße,,,,way
Graf-Dietrich-Straße,,,,way
Graf-Spee-Straße,,,,way
Grashornweg,,,,way
Grasmückenweg,,,,way
"Graudenzer Straße",,,,way
"Greifswalder Straße",,,,way
"Gremsmühler Straße",,,,way
Grenadierweg,,,,way
Grillenweg,,,,way
"Gristeder Straße",,,,way
"Groninger Straße",,,,way
Groß-Bornhorster-Straße,,,,way
"Große Hamheide",,,,way
"Großer Kuhlenweg",,,,way
Großmarktstraße,,,,way
Grotepool,,,,way
"Grünberger Straße",,,,way
"Grüne Straße",,,,way
Grünenkamp,,,,way
Grünteweg,,,,way
Guntrud-Heise-Straße,,,,way
"Güstrower Weg",,,,way
Gutenbergstraße,,,,way
Güterstraße,,,,way
"Gutspark Dietrichsfeld",,,,way
"Haager Straße",,,,way
Haakestraße,,,,way
Haareneschstraße,,,,way
Haarenfeld,,,,way
Haarenniederung,,,,way
Haarenstraße,,,,way
Haarenufer,,,,way
Habichtsweg,,,,way
Hackenweg,,,,way
"Hadersleber Straße",,,,way
Hafenpromenade,,,,way
Haferweg,,,,way
Hagelmannsweg,,,,way
Häherweg,,,,way
Hainbuchenweg,,,,way
"Halsbeker Straße",,,,way
Hamelmannstraße,,,,way
Händelstraße,,,,way
Hannah-Arendt-Straße,,,,way
Hannah-Höch-Straße,,,,way
Hans-Böckler-Straße,,,,way
Hans-Fleischer-Straße,,,,way
Hans-Holbein-Straße,,,,way
Hans-Jürgen-Appelrath-Straße,,,,way
Hansa-Ring,,,,way
Hardenbergstraße,,,,way
Harlingerstraße,,,,way
Harmoniestraße,,,,way
Harmsweg,,,,way
Harreweg,,,,way
Hartenkamp,,,,way
"Hartenscher Damm",,,,way
"Haseler Weg",,,,way
Haselriege,,,,way
Hasenpadd,,,,way
Hasenweg,,,,way
"Haßforter Straße",,,,way
Haubentaucherring,,,,way
Hauptstraße,,,,way
Hauptweg,,,,way
"Hausbäker Weg",,,,way
Häusing,,,,way
Hebbelstraße,,,,way
Hechtstraße,,,,way
Heckengang,,,,way
Hedwigstraße,,,,way
"Heidelberger Straße",,,,way
Heideweg,,,,way
Heidjerweg,,,,way
"Heidkamper Weg",,,,way
Heidplacken,,,,way
Heidschnuckenweg,,,,way
Heiligengeisthöfe,,,,way
Heiligengeistpark,,,,way
Heiligengeiststraße,,,,way
Heiligengeistwall,,,,way
Heilwigstraße,,,,way
Heimeck,,,,way
Heinrich-Brockmann-Straße,,,,way
Heinrich-Brüning-Straße,,,,way
Heinrich-Campendonk-Straße,,,,way
Heinrich-Früstück-Straße,,,,way
Heinrich-Krahnstöver-Straße,,,,way
Heinrich-Renken-Straße,,,,way
Heinrich-Sandstede-Straße,,,,way
Heinrich-Schütte-Straße,,,,way
Heinrich-Strack-Straße,,,,way
Heinrich-von-Gagern-Straße,,,,way
Heinrichstraße,,,,way
Heisterweg,,,,way
Helene-Lange-Straße,,,,way
Helene-Weber-Straße,,,,way
Helgolandstraße,,,,way
Hellmskamp,,,,way
Helmsweg,,,,way
"Hemmelsbäker Kanalweg",,,,way
Henkenweg,,,,way
Henny-Böger-Straße,,,,way
Henri-Dunant-Straße,,,,way
Herbartgang,,,,way
Herbartplatz,,,,way
Herbartstraße,,,,way
Herbstweg,,,,way
Hermann-Allmers-Weg,,,,way
Hermann-Ehlers-Straße,,,,way
Hermann-Kayser-Weg,,,,way
Hermann-Oncken-Weg,,,,way
Hermann-Tempel-Straße,,,,way
"Hermannstädter Straße",,,,way
Hermannstraße,,,,way
Hermelinweg,,,,way
Hero-Dietrich-Hillerns-Straße,,,,way
Herrenweg,,,,way
Hertzstraße,,,,way
Hesterkamp,,,,way
Heynesweg,,,,way
"Hilbers Kamp",,,,way
Hilde-Domin-Straße,,,,way
Hinnerksweg,,,,way
"Hirschberger Straße",,,,way
Hirschweg,,,,way
Hirseweg,,,,way
Hirtenweg,,,,way
"Hochhauser Straße",,,,way
"Hochheider Weg",,,,way
Hoffkamp,,,,way
Hofstraße,,,,way
Hogenkamp,,,,way
Hohenmoorstraße,,,,way
"Hoher Weg",,,,way
Hoikenweg,,,,way
"Holler Landstraße",,,,way
Holtmannsweg,,,,way
Holtzingerstraße,,,,way
Holunderweg,,,,way
Holzweg,,,,way
"Hooger Weg",,,,way
Hooptsweg,,,,way
Hopfenweg,,,,way
Hoppenriekels,,,,way
Hörneweg,,,,way
Horst-Janssen-Platz,,,,way
Hoyersgang,,,,way
Hubertusweg,,,,way
Huflattichweg,,,,way
Hugo-Gaudig-Straße,,,,way
Hugo-Zieger-Straße,,,,way
"Hullmanns Kamp",,,,way
Hullmannstraße,,,,way
"Hüllsteder Straße",,,,way
Hülsenhof,,,,way
"Hultschiner Straße",,,,way
Humboldtstraße,,,,way
Hummelweg,,,,way
"Hundsmühler Höhe",,,,way
"Hundsmühler Straße",,,,way
"Hunsrücker Straße",,,,way
Huntemannstraße,,,,way
Huntestraße,,,,way
Husarenweg,,,,way
Husbrok,,,,way
"Husteder Weg",,,,way
Ibo-Koch-Straße,,,,way
Ibsenstraße,,,,way
"Idar-Obersteiner Straße",,,,way
Igelweg,,,,way
Iltisweg,,,,way
"Im Bahnwinkel",,,,way
"Im Brook",,,,way
"Im Dreieck",,,,way
"Im Drielaker Moor",,,,way
"Im Eichengrund",,,,way
"Im Engelland",,,,way
"Im Grund",,,,way
"Im Hankenhof",,,,way
"Im Heidegrund",,,,way
"Im Kleigrund",,,,way
"Im Krusenbusch",,,,way
"Im Ofenerfeld",,,,way
"Im Ried",,,,way
"Im Schilf",,,,way
"Im Technologiepark",,,,way
"Im Uhlenhorst",,,,way
"Im Wiesengrund",,,,way
"Im Wunderhorn",,,,way
Immenweg,,,,way
"In der Allmende",,,,way
Industriehof,,,,way
Industriestraße,,,,way
Infanterieweg,,,,way
"Innsbrucker Straße",,,,way
"Insterburger Straße",,,,way
"Iprumper Weg",,,,way
Irisweg,,,,way
Isenkamp,,,,way
Jagdweg,,,,way
Jägerstraße,,,,way
Jahnstraße,,,,way
Jakobistraße,,,,way
Janusz-Korczak-Weg,,,,way
Jawlenskystraße,,,,way
"Jenaer Straße",,,,way
Johann-Gerdes-Straße,,,,way
Johann-Heinrich-Brandes-Straße,,,,way
Johann-Hinrich-Engelbart-Weg,,,,way
Johann-Justus-Weg,,,,way
Johannes-Brahms-Straße,,,,way
Johannisgang,,,,way
Johannisstraße,,,,way
Joseph-Bernhard-Winck-Straße,,,,way
Juiststraße,,,,way
Julius-Mosen-Platz,,,,way
Junkerburg,,,,way
Junkerstraße,,,,way
Justin-Hüppe-Ring,,,,way
Justus-von-Liebig-Straße,,,,way
Kaiserstraße,,,,way
Kalmusweg,,,,way
Kampstraße,,,,way
Kanalstraße,,,,way
Kandinskystraße,,,,way
Kanonierstraße,,,,way
Kantstraße,,,,way
Kardinal-von-Galen-Straße,,,,way
Karl-Arnold-Straße,,,,way
Karl-Jaspers-Straße,,,,way
Karlsbadstraße,,,,way
Karlstraße,,,,way
"Kärntner Straße",,,,way
Karpfenweg,,,,way
Karuschenweg,,,,way
Kasernenstraße,,,,way
Kasinoplatz,,,,way
Kaspersweg,,,,way
Kastanienallee,,,,way
Katharinenstraße,,,,way
Käthe-Kollwitz-Straße,,,,way
Kattenbarg,,,,way
"Kattowitzer Straße",,,,way
Kauzweg,,,,way
Kavallerieweg,,,,way
Kennedystraße,,,,way
Keplerstraße,,,,way
Kernbeißerring,,,,way
Kerschensteinerstraße,,,,way
Kiebitzweg,,,,way
Kiefernweg,,,,way
Kiehnpool,,,,way
Kielweg,,,,way
Kiesgrubenstraße,,,,way
Kirchhofstraße,,,,way
Kirchhofsweg,,,,way
Kirchweg,,,,way
Kirschblütenanger,,,,way
"Klaas Heufer-Umlauf Treppe",,,,way
Klarmannsweg,,,,way
Klaus-Groth-Straße,,,,way
"Klausenburger Straße",,,,way
Klävemannstraße,,,,way
Kleenskamp,,,,way
Kleestraße,,,,way
Kleiberstraße,,,,way
"Klein-Bornhorster Straße",,,,way
"Kleine Hamheide",,,,way
"Kleine Kirchenstraße",,,,way
"Kleine Straße",,,,way
"Kleiner Kuhlenweg",,,,way
Kleiststraße,,,,way
Klingenbergstraße,,,,way
Klosterholzweg,,,,way
Klostermark,,,,way
Klosterstraße,,,,way
Klusweg,,,,way
Kneippstraße,,,,way
Knick,,,,way
Knie,,,,way
"Kniphauser Straße",,,,way
"Kolberger Weg",,,,way
Kolpingstraße,,,,way
"Königsberger Straße",,,,way
Königskerzenweg,,,,way
Konradstraße,,,,way
Koopmannweg,,,,way
"Kopenhagener Straße",,,,way
Kopernikusstraße,,,,way
Koppelstraße,,,,way
Koppelweide,,,,way
Kornblumenweg,,,,way
Kornstraße,,,,way
Korsorsstraße,,,,way
Kortjanweg,,,,way
Kortlangstraße,,,,way
"Kösliner Weg",,,,way
Köstersweg,,,,way
Köterhof,,,,way
Kranbergstraße,,,,way
Kranichstraße,,,,way
Kreuzdornweg,,,,way
Kreuzstraße,,,,way
Kreyenstraße,,,,way
Kriegerstraße,,,,way
Krögerskamp,,,,way
Krokusweg,,,,way
Kronsbeerenweg,,,,way
"Kronstädter Straße",,,,way
Krugweg,,,,way
"Krumme Straße",,,,way
"Krummlands Kamp",,,,way
Krusenweg,,,,way
Kuckucksweg,,,,way
Kuhlenkamp,,,,way
Kuhweg,,,,way
Kummerkamp,,,,way
Küpkersweg,,,,way
Kurlandallee,,,,way
Kurt-Huber-Straße,,,,way
Kurt-Schumacher-Straße,,,,way
Kurwickstraße,,,,way
"Kurze Straße",,,,way
Küstenkanalstraße,,,,way
"Küstriner Straße",,,,way
Lachsweg,,,,way
Lafontainestraße,,,,way
Lagerstraße,,,,way
Lambertihof,,,,way
Lambertistraße,,,,way
Lammweg,,,,way
Landweg,,,,way
Landwehrstraße,,,,way
"Lange Straße",,,,way
Langenweg,,,,way
"Langer Weg",,,,way
Lappan,,,,relation+way
Lärchenring,,,,way
Largauweg,,,,way
Lasiusstraße,,,,way
"Lauenburger Ring",,,,way
Le-Corbusier-Straße,,,,way
Leffersweg,,,,way
Lehmkuhlenstraße,,,,way
Lehmplacken,,,,way
Leibnizstraße,,,,way
Leinweg,,,,way
"Leipziger Straße",,,,way
Lenzweg,,,,way
Leo-Trepp-Straße,,,,way
"Leobschützer Straße",,,,way
Leon-Bukofzer-Straße,,,,way
Lerchenspornweg,,,,way
Lerchenstraße,,,,way
Lerchenweg,,,,way
Lerigauweg,,,,way
Lessingstraße,,,,way
Lesumstraße,,,,way
"Leuchtenburger Straße",,,,way
Leuschnerstraße,,,,way
Libellenweg,,,,way
Liegewiese,,,,way
"Liegnitzer Straße",,,,way
Lilienthalstraße,,,,way
Lilienweg,,,,way
Lindenallee,,,,way
Lindenbogen,,,,way
Lindenhofsgarten,,,,way
Lindenstraße,,,,way
Lindenweg,,,,way
"Linsweger Straße",,,,way
Lise-Meitner-Straße,,,,way
Lisztstraße,,,,way
Logemannhof,,,,way
Logemannskamp,,,,way
"Londoner Straße",,,,way
Lönsweg,,,,way
Loogenweg,,,,way
"Lothringer Straße",,,,way
Louise-Schroeder-Straße,,,,way
Löwenzahnweg,,,,way
"Loyerender Weg",,,,way
Lübbenbuschweg,,,,way
Lübskamp,,,,way
Luchsweg,,,,way
Ludwig-Klingenberg-Weg,,,,way
Ludwig-Quidde-Weg,,,,way
Ludwig-Strack-Straße,,,,way
Ludwigstraße,,,,way
Lüntjenweg,,,,way
Lupinenstraße,,,,way
Lustgarten,,,,way
Lüttichstraße,,,,way
"Luxemburger Straße",,,,way
Luzernenstraße,,,,way
"Maastrichter Straße",,,,way
Magnolienring,,,,way
Maienweg,,,,way
Malvenweg,,,,way
"Mansholter Straße",,,,way
"Marburger Straße",,,,way
Marderweg,,,,way
Margarete-Gramberg-Straße,,,,way
Margaretenstraße,,,,way
Maria-von-Jever-Straße,,,,way
Marie-Juchacz-Ring,,,,way
Marienstraße,,,,way
Markt,,,,way
"Marktplatz Eversten",,,,way
Mars-la-Tour-Straße,,,,way
Marschweg,,,,way
Martin-Buber-Straße,,,,way
Martin-Luther-Straße,,,,way
Martin-Niemöller-Straße,,,,way
Masurenstraße,,,,way
Matthias-Claudius-Straße,,,,way
Matthias-Erzberger-Straße,,,,way
Max-Beckmann-Straße,,,,way
Max-Mehner-Straße,,,,way
